date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:53	75055/75055	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:56%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=b4031ebe-e802-4402-a49a-5769943872a5	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default84ba.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:53	2866/2866	---M--	200	added ('OK')	image/png	etag:%2247ad80b126ddcf1:0%22	http://icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/arrow_all_phong.png	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/arrow_all_phong.png	(from http://icsse2017.hcmute.edu.vn/)
10:14:04	137816/137816	---M--	200	added ('OK')	application/pdf	etag:%22275ad8487198d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/SS_cfp_Huang.pdf	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/SS_cfp_Huang.pdf	(from http://icsse2017.hcmute.edu.vn/)
10:14:04	134252/134252	---M--	200	added ('OK')	application/pdf	etag:%22922aef9d7198d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/SS02%20-%20call4pp.pdf	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/SS02%20-%20call4pp.pdf	(from http://icsse2017.hcmute.edu.vn/)
10:14:05	79284/79284	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:14:08%20GMT	http://icsse2017.hcmute.edu.vn/?ArticleId=3af2fa01-2645-4516-a65a-67bfec768e13	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/index52be.html	(from http://icsse2017.hcmute.edu.vn/)
10:14:08	79264/79264	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:14:12%20GMT	http://icsse2017.hcmute.edu.vn/?ArticleId=bc474489-26ce-4997-a1c0-b37dce27b202	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/indexe41c.html	(from http://icsse2017.hcmute.edu.vn/)
10:14:12	79617/79617	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:14:14%20GMT	http://icsse2017.hcmute.edu.vn/?ArticleId=f796f938-0681-4d25-b47e-6bcd24536152	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/indexc489.html	(from http://icsse2017.hcmute.edu.vn/)
10:14:16	7879/7879	---M--	200	added ('OK')	image/png	etag:%22821e80a590c2cf1:0%22	http://icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/bgfooter_phong.png	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/bgfooter_phong.png	(from http://icsse2017.hcmute.edu.vn/)
10:14:16	25338/25338	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2252dff2e8a39cd21:0%22	http://icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/Instruction%20easychair_ICSSE2017.docx	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/Instruction%20easychair_ICSSE2017.docx	(from http://icsse2017.hcmute.edu.vn/)
10:14:16	2402/2402	---M-Z	200	added ('OK')	text/css	etag:%22cc41a82b6768d11:0%22	http://icsse2017.hcmute.edu.vn/CSS/show_img.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/CSS/show_img.css	(from http://icsse2017.hcmute.edu.vn/)
10:14:17	59392/59392	---M--	200	added ('OK')	application/msword	etag:%22f472a461b714d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/ieeeconf_letter.doc	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/Docs/SubDomain/icsse2017/ieeeconf_letter.doc	(from http://icsse2017.hcmute.edu.vn/)
10:14:17	280/280	---M--	200	added ('OK')	image/png	etag:%2237ac912b6768d11:0%22	http://icsse2017.hcmute.edu.vn/Components/lightbox/img/close.png	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Components/lightbox/img/close.png	(from http://icsse2017.hcmute.edu.vn/Components/lightbox/css/lightbox.css)
10:14:17	5359/5359	---M--	200	added ('OK')	image/png	etag:%220862e2bf588d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/Imagephoto/logo.png	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/Imagephoto/logo.png	(from http://icsse2017.hcmute.edu.vn/)
10:14:18	8476/8476	---M--	200	added ('OK')	image/gif	etag:%22fe80932b6768d11:0%22	http://icsse2017.hcmute.edu.vn/Components/lightbox/img/loading.gif	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Components/lightbox/img/loading.gif	(from http://icsse2017.hcmute.edu.vn/Components/lightbox/css/lightbox.css)
10:14:18	1360/1360	---M--	200	added ('OK')	image/png	etag:%224a8e962b6768d11:0%22	http://icsse2017.hcmute.edu.vn/Components/lightbox/img/prev.png	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Components/lightbox/img/prev.png	(from http://icsse2017.hcmute.edu.vn/Components/lightbox/css/lightbox.css)
10:14:18	1350/1350	---M--	200	added ('OK')	image/png	etag:%22b42e952b6768d11:0%22	http://icsse2017.hcmute.edu.vn/Components/lightbox/img/next.png	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Components/lightbox/img/next.png	(from http://icsse2017.hcmute.edu.vn/Components/lightbox/css/lightbox.css)
